system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching C:\Users\Andrew\Desktop\AI Svn\andrew auclair\steering_week2\
display  D   display_settings.c:357  _al_score_display_settings       [   0.02617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02619] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02620] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02621] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02623] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02624] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02625] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02627] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02628] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02629] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02631] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02632] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02633] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02635] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02636] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02637] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02639] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02640] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02641] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02642] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02645] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02646] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02647] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02649] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02650] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02651] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02653] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02654] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02655] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02657] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02659] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02660] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02661] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02663] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02664] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02665] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02667] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02668] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02669] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02671] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02672] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02673] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02675] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02676] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02677] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02679] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02680] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.02681] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02683] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02684] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02686] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02687] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02688] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02690] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02691] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02693] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02694] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02695] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02697] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02698] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02700] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02701] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02702] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02704] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02705] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02707] Single Buffer requirement not met.
