system   D            wsystem.c:583  maybe_parent_dir                 [   0.00051] Also searching C:\Users\Jack\Development\EGPAI\Playground\Storm\Diablo2\editor\
display  D   display_settings.c:191  debug_display_settings           [   0.13683] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13684] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13685] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13686] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13687] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13688] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13688] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13689] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13690] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13691] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13691] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13692] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13693] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13694] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13695] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13695] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13696] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13697] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.13698] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13699] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13699] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13700] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13701] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13702] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13703] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13703] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13704] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13705] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13706] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13707] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13707] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13708] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13709] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13710] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13711] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13712] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.13712] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13713] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13714] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13715] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13716] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13717] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13717] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13718] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13719] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13720] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13720] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
